Released_Year,Game_Type,Age_Category,Min_Players,Max_Players,Average_Rating,Adjusted_Average_Complexity,Play_Time_Category,Engagement_Metrics
2010,BaseGame,12 to under 18,2,6,6.68681,1.711317698429467,Median_Games,41.833333333333336
1991,BaseGame,5 to under 12,2,9,7.38854,1.9145411648707653,Average_Games,203.66666666666666
2000,PremiumGame,5 to under 12,2,6,5.0,1.0,Long_Games,3.1666666666666665
2014,PremiumGame,5 to under 12,2,5,7.25,1.711317698429467,Median_Games,67.83333333333333
2013,BaseGame,12 to under 18,1,2,7.848,2.0669765476442,Median_Games,42.5
1994,BaseGame,5 to under 12,2,2,5.185,1.26674413691105,Median_Games,31.0
2007,BaseGame,12 to under 18,2,4,7.0,2.422635396858934,Median_Games,4.5
2007,BaseGame,5 to under 12,2,10,5.08235,1.3556588492147337,Short_Games,12.5
2010,BaseGame,5 to under 12,2,7,7.87047,2.7425283470666946,Median_Games,16026.0
2003,BaseGame,5 to under 12,3,6,6.11667,1.711317698429467,Long_Games,3.6666666666666665
2011,BaseGame,12 to under 18,2,4,10.0,2.422635396858934,Long_Games,0.6666666666666666
2013,BaseGame,12 to under 18,2,5,8.7,2.422635396858934,Long_Games,29.0
1986,BaseGame,5 to under 12,2,2,4.95613,1.711317698429467,Long_Games,55.5
1997,BaseGame,12 to under 18,2,4,6.50408,2.422635396858934,Median_Games,27.333333333333332
2009,BaseGame,5 to under 12,2,4,7.35928,3.0051200788787944,Long_Games,1930.6666666666667
1995,BaseGame,12 to under 18,2,6,7.26923,2.28037185717304,Very_Long_Games,13.333333333333334
2007,PremiumGame,12 to under 18,2,2,9.01667,3.1339530952884007,Median_Games,15.833333333333334
2003,BaseGame,12 to under 18,2,2,6.35605,1.9755010916261704,Average_Games,177.66666666666666
1998,BaseGame,12 to under 18,2,8,6.49586,2.375190506373688,Average_Games,75.66666666666667
2001,BaseGame,5 to under 12,3,4,6.34023,1.8891471230368333,Median_Games,87.0
2009,BaseGame,under 5,1,4,6.87658,1.0,Short_Games,114.5
1989,BaseGame,12 to under 18,2,4,7.46642,2.159863370659905,Median_Games,1261.5
2007,BaseGame,under 5,3,3,5.0625,1.711317698429467,Median_Games,21.833333333333332
2004,BaseGame,5 to under 12,1,2,7.0,2.422635396858934,Short_Games,0.5
2006,BaseGame,5 to under 12,2,2,6.25924,1.711317698429467,Median_Games,75.33333333333333
2011,BaseGame,12 to under 18,3,10,7.15503,1.0474448904852454,Median_Games,181.16666666666666
2011,PremiumGame,5 to under 12,2,5,6.5678,1.5690541587435731,Median_Games,124.66666666666667
1989,BaseGame,under 5,2,4,5.66667,1.0,Median_Games,1.0
2008,BaseGame,under 5,3,6,6.96313,2.939623917177266,Long_Games,696.1666666666666
2007,BaseGame,5 to under 12,2,6,5.4791,1.133372068455525,Median_Games,78.0
1987,PremiumGame,12 to under 18,2,6,4.092,1.4267906190576802,Average_Games,15.666666666666666
1999,BaseGame,12 to under 18,2,2,5.96029,1.997230790900768,Median_Games,389.6666666666667
1995,BaseGame,under 5,2,2,3.138,1.3556588492147337,Median_Games,2.1666666666666665
2015,BaseGame,5 to under 12,2,10,5.66667,1.0,Median_Games,6.0
2005,PremiumGame,5 to under 12,2,6,5.70889,1.3048707655468696,Median_Games,76.33333333333333
2012,BaseGame,5 to under 12,4,18,6.93122,1.109400662018452,Median_Games,368.0
2004,BaseGame,5 to under 12,3,5,6.89463,2.267994929220368,Average_Games,120.0
1999,BaseGame,5 to under 12,2,4,6.12222,1.711317698429467,Median_Games,18.0
2012,BaseGame,12 to under 18,1,1,7.33019,1.9052940347911824,Median_Games,52.0
2013,BaseGame,12 to under 18,2,6,7.09125,2.2406803296006763,Long_Games,306.3333333333333
2008,BaseGame,5 to under 12,3,6,7.41665,1.3883970702162125,Median_Games,9629.5
2014,PremiumGame,12 to under 18,1,5,5.6875,1.711317698429467,Long_Games,54.166666666666664
2011,BaseGame,12 to under 18,2,10,7.09664,2.38586027185013,Average_Games,616.1666666666666
1999,BaseGame,5 to under 12,2,10,4.5,1.0,Short_Games,4.333333333333333
2010,BaseGame,5 to under 12,1,1,5.66667,1.0,Very_Short_Games,2.6666666666666665
2009,PremiumGame,under 5,3,6,6.33934,1.711317698429467,Median_Games,31.666666666666668
2012,PremiumGame,5 to under 12,1,5,10.0,1.0,Median_Games,2.5
1996,BaseGame,5 to under 12,2,8,5.14062,1.0,Short_Games,22.833333333333332
2005,BaseGame,5 to under 12,3,5,6.87106,1.9892569899288683,Long_Games,389.1666666666667
2008,PremiumGame,under 5,2,6,7.50774,2.3735544756673006,Long_Games,518.8333333333334
2009,PremiumGame,12 to under 18,2,2,7.30546,2.267994929220368,Average_Games,290.8333333333333
1984,BaseGame,under 5,2,4,5.0,1.0,Median_Games,0.3333333333333333
1999,BaseGame,5 to under 12,2,4,3.5,1.711317698429467,Median_Games,1.1666666666666667
2005,PremiumGame,12 to under 18,2,6,7.42174,2.0669765476442,Long_Games,16.666666666666668
2010,BaseGame,under 5,2,4,4.63043,1.3556588492147337,Median_Games,14.166666666666666
2008,BaseGame,under 5,2,2,6.14706,1.8535812381153605,Long_Games,18.333333333333332
1997,BaseGame,under 5,2,4,6.5,3.1339530952884007,Long_Games,6.0
2014,BaseGame,12 to under 18,2,6,5.66667,2.422635396858934,Average_Games,3.6666666666666665
2006,BaseGame,5 to under 12,2,6,2.0,1.0,Long_Games,1.0
2008,BaseGame,5 to under 12,2,2,6.40625,2.422635396858934,Median_Games,8.0
2013,BaseGame,12 to under 18,2,6,7.17085,2.331843087541376,Average_Games,646.0
1992,BaseGame,5 to under 12,2,5,6.93862,1.8637530812029013,Average_Games,98.5
