Game_ID,Game_Name,Released_Year,Game_Type,Age_Category,Min_Players,Max_Players,Average_Complexity,Complexity_Raters,Average_Play_Time,Owner_Number,Trader_Number,HighInterest_Number,Interest_Number,Rater_Number,Comment_Number,Average_Rating,Adjusted_Average_Complexity,Play_Time_Category
62900,The Agents: Events,2014,PremiumGame,5 to under 12,2,5,2.0,1,30,349,9,9,7,16,17,7.25,1.711317698429467,Median_Games
57974,Hoplomachus: Rise of Rome,2013,BaseGame,12 to under 18,1,2,2.5,2,30,136,5,32,43,25,14,7.848,2.0669765476442,Median_Games
17524,The Way,1994,BaseGame,5 to under 12,2,2,1.375,8,30,88,3,1,14,40,40,5.185,1.26674413691105,Median_Games
47696,Lost Legacy,2007,BaseGame,12 to under 18,2,4,3.0,1,30,11,1,4,5,3,3,7.0,2.422635396858934,Median_Games
35491,UNO: Doctor Who,2007,BaseGame,5 to under 12,2,10,1.5,2,15,29,1,6,12,17,10,5.08235,1.3556588492147337,Short_Games
8818,7 Wonders,2010,BaseGame,5 to under 12,2,7,2.3384,2917,30,44982,464,1046,5806,36732,7126,7.87047,2.7425283470666946,Median_Games
28082,Maitre du Monde,2003,BaseGame,5 to under 12,3,6,2.0,1,120,13,0,0,1,6,2,6.11667,1.711317698429467,Long_Games
51708,CastleControl,2011,BaseGame,12 to under 18,2,4,3.0,1,90,2,0,0,0,1,1,10.0,2.422635396858934,Long_Games
55210,Orion Inc.,2013,BaseGame,12 to under 18,2,5,3.0,2,120,5,0,21,138,5,5,8.7,2.422635396858934,Long_Games
18508,Battleship (first edition),1986,BaseGame,5 to under 12,2,2,2.0,5,90,187,8,3,5,102,28,4.95613,1.711317698429467,Long_Games
14959,Dark Eden,1997,BaseGame,12 to under 18,2,4,3.0,6,30,81,3,6,10,49,15,6.50408,2.422635396858934,Median_Games
9096,Stronghold,2009,BaseGame,5 to under 12,2,4,3.6734,297,120,4631,195,622,2432,2844,860,7.35928,3.0051200788787944,Long_Games
29269,From Valmy to Waterloo,1995,BaseGame,12 to under 18,2,6,2.8,5,180,58,0,1,5,13,3,7.26923,2.28037185717304,Very_Long_Games
31846,ATS: Nikitovka 1941,2007,PremiumGame,12 to under 18,2,2,4.0,1,30,57,2,5,8,12,11,9.01667,3.1339530952884007,Median_Games
12171,The Lord of the Rings: Combat Hex Tradeable Miniatures Game,2003,BaseGame,12 to under 18,2,2,2.3714,35,60,568,59,20,26,258,135,6.35605,1.9755010916261704,Average_Games
12847,Warzone (second edition),1998,BaseGame,12 to under 18,2,8,2.9333,15,60,238,9,9,16,134,48,6.49586,2.375190506373688,Average_Games
12908,Frachtexpress,2001,BaseGame,5 to under 12,3,4,2.25,16,45,305,23,6,14,131,43,6.34023,1.8891471230368333,Median_Games
11696,First Orchard,2009,BaseGame,under 5,1,4,1.0,20,10,377,4,16,56,158,76,6.87658,1.0,Short_Games
7340,Space Hulk,1989,BaseGame,12 to under 18,2,4,2.5065,310,45,3012,50,211,485,2923,888,7.46642,2.159863370659905,Median_Games
36003,De Kolonisten van Catan: Wegwerpcatan,2007,BaseGame,under 5,3,3,2.0,4,45,96,8,0,6,16,5,5.0625,1.711317698429467,Median_Games
22979,Moves,2004,BaseGame,5 to under 12,1,2,3.0,1,10,1,0,0,0,1,1,7.0,2.422635396858934,Short_Games
14085,Expdition Altiplano,2006,BaseGame,5 to under 12,2,2,2.0,16,30,259,19,14,27,92,41,6.25924,1.711317698429467,Median_Games
11122,"But Wait, There's More!",2011,BaseGame,12 to under 18,3,10,1.0667,15,30,443,9,87,288,179,81,7.15503,1.0474448904852454,Median_Games
51529,Zooloretto: Catta,2011,PremiumGame,5 to under 12,2,5,1.8,5,45,569,29,24,33,59,34,6.5678,1.5690541587435731,Median_Games
25746,Not So Scary Things,1989,BaseGame,under 5,2,4,1.0,1,30,1,0,0,0,3,2,5.66667,1.0,Median_Games
9548,Wealth of Nations,2008,BaseGame,under 5,3,6,3.6193,197,120,1556,75,115,420,1481,530,6.96313,2.939623917177266,Long_Games
17374,Mother Sheep,2007,BaseGame,5 to under 12,2,6,1.1875,16,20,236,20,2,16,134,60,5.4791,1.133372068455525,Median_Games
33556,Trivial Pursuit: Sports Edition,1987,PremiumGame,12 to under 18,2,6,1.6,5,60,54,4,0,3,25,8,4.092,1.4267906190576802,Average_Games
11969,DruidenWalzer,1999,BaseGame,12 to under 18,2,2,2.3784,74,45,1135,73,55,109,684,282,5.96029,1.997230790900768,Median_Games
35407,369,1995,BaseGame,under 5,2,2,1.5,2,30,4,0,0,0,5,4,3.138,1.3556588492147337,Median_Games
67817,Periodyx,2015,BaseGame,5 to under 12,2,10,1.0,1,30,29,0,0,0,3,4,5.66667,1.0,Median_Games
25586,The Haunting House 3: A Ghost Story,2005,PremiumGame,5 to under 12,2,6,1.4286,7,45,299,20,6,17,90,26,5.70889,1.3048707655468696,Median_Games
10153,Wits & Wagers Party,2012,BaseGame,5 to under 12,4,18,1.1538,26,25,1329,54,20,110,576,119,6.93122,1.109400662018452,Median_Games
11467,Garden Competition,2004,BaseGame,5 to under 12,3,5,2.7826,23,60,177,7,78,173,179,106,6.89463,2.267994929220368,Average_Games
